"Comment","Designator","Footprint","LCSC Part #"
"2.2pF","C10,C15","C_0402_1005Metric","C85938"
"4.7pF","C8,C9","C_0402_1005Metric","C76946"
"10uF","C16,C21,C22,C28,C29,C35,C36,C47","C_1210_3225Metric","C5444485"
"47uF","C27,C34,C41","C_0805_2012Metric","C124129"
"APHHS1005LCGCK","D5,D8","LED_0402_1005Metric","C5354975"
"APHHS1005LSYCK/J3-PF","D3","LED_0402_1005Metric","C5354974"
"APHHS1005LZGCK-V","D2,D4","LED_0402_1005Metric","C5875752"
"1792876","J5","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","C976597"
"Header male 1x05","J4","PinHeader_1x05_P2.54mm_Vertical","C7501263"
"100","R40","R_0402_1005Metric","C413063"
"Button Switch SPST-No","SW1","SW_PUSH_6mm","C87037"
"~","TPD4EUSB30DQAR1,TPD4EUSB30DQAR2,TPD4EUSB30DQAR3","IC_TPD4EUSB30DQAR","C90627"
"Buffers & Line Driver","U3","SOT65P210X110-5N","C67531"
